id,name,start_msg,end_msg,tod,first_wave_after,target_npc_spawner_id,kill_npc_id,kill_npc_count,force_end_time,tod_day_interval,title_msg
3,십자별 평원_징조의 틈,어디선가 음산한 뿔나팔 소리와 함께 하늘에 불길한 틈새가 나타났습니다.,불길한 틈새가 소멸되고 주변이 안정을 찾아갑니다.,12.0,0.0,9846,1,0,3600.0,1,징조의 틈
4,테스트던전_타워디펜스,타워디펜스 시작,타워디펜스 종료,0.0,0.0,9880,8857,1,3600.0,1,
5,이니스테르 징조의 틈,어디선가 음산한 뿔나팔 소리와 함께 하늘에 불길한 틈새가 나타났습니다.,불길한 틈새가 소멸되고 주변이 안정을 찾아갑니다.,12.0,0.0,8939,1,0,3600.0,1,징조의 틈
6,원대륙 징조의 틈,어디선가 음산한 뿔나팔 소리와 함께 하늘에 불길한 틈새가 나타났습니다.,불길한 틈새가 소멸되고 주변이 안정을 찾아갑니다.,18.0,0.0,9998,1,0,3600.0,1,징조의 틈
8,갈대무리 땅 소환사의 습격,갈대무리 땅에 위험한 기운이 감돕니다.,소환사가 모습을 감춥니다.,13.0,0.0,15641,,0,1800.0,1,소환사의 습격
9,테스트 - 사냥된 몬스터 숫자로 발동하는 몬스터 소환,1단계 몬스터 3마리를 잡았으므로 몬스터 스포너를 활성화합니다.,,0.0,0.0,5239,9161,3,3600.0,1,
12,하슬라 타워디펜스,태고의 힘을 억누르는 바람이 제압당했습니다. 태고의 힘이 솟구치기 시작합니다.,어디선가 태고의 힘을 억누르는 바람이 불어옵니다. 더 이상 태고의 힘이 느껴지지 않습니다.,18.0,0.0,13638,,,4800.0,1,태고의 힘
13,십자별 유령 군대,하늘에 안개구름이 나타납니다.,끔찍한 안개구름이 걷히고 대지가 평화를 찾아갑니다.,0.1,20.0,14335,,1,3600.0,1,
14,상단 호위 이벤트 - 마하데비, 마하데비 상단이 약초농장에서 출발 준비중입니다. @NPC_NAME(13010)를 만나보세요.,마하데비 상단의 여행이 끝났습니다.,12.0,0.0,14460,1,0,3600.0,1,
15,이니스테르 유령 군대,하늘에 안개구름이 나타납니다.,끔찍한 안개구름이 걷히고 대지가 평화를 찾아갑니다.,0.1,20.0,14441,,0,3600.0,1,
16,십자별 전장의 안개 안내,푸른소금 상회에서 물자를 필요로 합니다.,푸른소금 상회에서 물자를 필요로 합니다. 시차일드 부두의 푸른소금 상회 게시판을 확인해 주세요.,20.0,5.0,12271,,0,1200.0,1,
17,이니스테르 전장의 안개 안내,푸른소금 상회에서 물자를 필요로 합니다.,푸른소금 상회에서 물자를 필요로 합니다. 시차일드 부두의 푸른소금 상회 게시판을 확인해 주세요.,20.0,5.0,12272,,0,1200.0,1,
18,황금 평원 전쟁,$1에 밀밭을 흔드는 전투가 발생하였습니다. 5분 후 각 연합의 진지가 구축됩니다.,$1에 밀밭을 흔드는 전투가 끝났습니다.,0.0,300.0,15232,,1,4800.0,1,밀밭을 흔드는 전투
19,황금 평원 전쟁 누이아 승리 보상,누이아 연합이 밀밭을 흔드는 전투에서 승리하였습니다.,누이아 연합 승전 축하 사절이 돌아갑니다.,0.0,0.0,15213,13661,1,3600.0,1,승리
20,황금 평원 전쟁 하리하라 승리 보상,하리하라 연합이 밀밭을 흔드는 전투에서 승리하였습니다.,하리하라 연합의 승전 축하 사절이 돌아갑니다.,0.0,0.0,15227,13647,1,3600.0,1,승리
21,이녹의 사자 보호 탑,탑이 부서졌습니다.,모든 탑이 부서졌습니다.,0.0,0.0,,1,0,3600.0,1,
22,풍랑의 전조,,,5.0,0.0,,,0,3600.0,1,풍랑의 전조
23,태양의 들녘 테스트,하늘에서 푸른 먹구름이 몰려오고 있습니다.,종료,0.0,0.0,15446,,0,3600.0,1,피 바람의 방어전선
24,심연의 입구,어딘가 다른 차원에서 흘러나온 기운이 사방을 메웁니다.,틈새가 닫히며 사방이 정화되어 갑니다.,0.0,0.0,15363,13800,9,3600.0,1,
25,타워의 눈물,타워가 부서졌습니다.,위험이 사라진것 같습니다.,0.0,0.0,1,42,1,3600.0,1,
26,타워 방어 두다드 npc 생성 테스트,npc도 생성하고 타워도 생성하고.,다 사라진다.,0.0,0.0,15687,,0,3600.0,1,
27,나무 거인 등장,빛바랜 나무 거인이 나타났다.,빛바랜 나무 거인을 처치하였습니다.,0.0,0.0,43,13864,10,3600.0,1,나무 거인의 횡포
